,0,1,2,3,4
2018-12-16 12:07:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 12:12:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 12:17:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 12:22:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 12:27:00.026,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 12:32:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 12:37:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 12:42:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 12:47:00.033,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 12:52:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 12:57:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 13:02:00.025,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 13:07:00.025,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 13:12:00.025,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 13:17:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 13:22:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 13:27:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 13:32:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 13:37:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 13:42:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 13:47:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 13:52:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 13:57:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 14:02:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 14:07:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 14:12:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 14:17:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 14:22:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 14:27:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 14:32:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 14:37:00.019,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 14:42:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 14:47:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 14:52:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 14:57:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 15:02:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 15:07:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 15:12:00.024,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 15:17:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 15:22:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 15:27:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 15:32:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 15:37:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 15:42:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 15:47:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 15:52:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 15:57:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 16:02:00.025,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
